service_id,date,exception_type
S3093J126,20220829,1
S3094J112,20220829,1
S3094J124,20220829,1
S3095J112,20220829,1
S3093J126,20220830,1
S3094J112,20220830,1
S3094J124,20220830,1
S3095J112,20220830,1
S3093J126,20220831,1
S3094J112,20220831,1
S3094J124,20220831,1
S3095J112,20220831,1
S3096J124,20220901,1
S3097J124,20220901,1
S3098J12,20220901,1
S3098J124,20220901,1
S3099J12,20220901,1
S3096J124,20220902,1
S3097J124,20220902,1
S3098J12,20220902,1
S3098J124,20220902,1
S3099J12,20220902,1
S3100J2,20220903,1
S3101J2,20220903,1
S3102J2,20220903,1
S3103J2,20220903,1
S3104J127,20220904,1
S3105J127,20220904,1
S3106J127,20220904,1
S3107J127,20220904,1
S3096J124,20220905,1
S3098J112,20220905,1
S3098J124,20220905,1
S3108J112,20220905,1
S3096J124,20220906,1
S3098J112,20220906,1
S3098J124,20220906,1
S3108J112,20220906,1
S3096J124,20220907,1
S3098J112,20220907,1
S3098J124,20220907,1
S3108J112,20220907,1
S3096J124,20220908,1
S3098J12,20220908,1
S3098J124,20220908,1
S3099J12,20220908,1
S3096J124,20220909,1
S3098J12,20220909,1
S3098J124,20220909,1
S3099J12,20220909,1
S3100J2,20220910,1
S3102J2,20220910,1
S3103J2,20220910,1
S3104J127,20220911,1
S3105J127,20220911,1
S3106J127,20220911,1
S3107J127,20220911,1
S3096J124,20220912,1
S3098J112,20220912,1
S3098J124,20220912,1
S3108J112,20220912,1
S3096J124,20220913,1
S3098J112,20220913,1
S3098J124,20220913,1
S3108J112,20220913,1
S3096J124,20220914,1
S3098J112,20220914,1
S3098J124,20220914,1
S3108J112,20220914,1
S3096J124,20220915,1
S3098J12,20220915,1
S3098J124,20220915,1
S3099J12,20220915,1
S3096J124,20220916,1
S3098J12,20220916,1
S3098J124,20220916,1
S3099J12,20220916,1
S3100J2,20220917,1
S3102J2,20220917,1
S3103J2,20220917,1
S3104J127,20220918,1
S3105J127,20220918,1
S3106J127,20220918,1
S3107J127,20220918,1
S3096J124,20220919,1
S3098J112,20220919,1
S3098J124,20220919,1
S3108J112,20220919,1
S3096J124,20220920,1
S3098J112,20220920,1
S3098J124,20220920,1
S3108J112,20220920,1
S3096J124,20220921,1
S3098J112,20220921,1
S3098J124,20220921,1
S3108J112,20220921,1
S3096J124,20220922,1
S3098J12,20220922,1
S3098J124,20220922,1
S3099J12,20220922,1
S3096J124,20220923,1
S3098J12,20220923,1
S3098J124,20220923,1
S3099J12,20220923,1
S3100J2,20220924,1
S3102J2,20220924,1
S3103J2,20220924,1
S3104J127,20220925,1
S3105J127,20220925,1
S3106J127,20220925,1
S3107J127,20220925,1
S3096J124,20220926,1
S3098J112,20220926,1
S3098J124,20220926,1
S3108J112,20220926,1
S3096J124,20220927,1
S3098J112,20220927,1
S3098J124,20220927,1
S3108J112,20220927,1
S3096J124,20220928,1
S3098J112,20220928,1
S3098J124,20220928,1
S3108J112,20220928,1
S3096J124,20220929,1
S3098J12,20220929,1
S3098J124,20220929,1
S3099J12,20220929,1
S3096J124,20220930,1
S3098J12,20220930,1
S3098J124,20220930,1
S3099J12,20220930,1
S3102J2,20221001,1
S3103J2,20221001,1
S3109J2,20221001,1
S3105J127,20221002,1
S3106J127,20221002,1
S3107J127,20221002,1
S3110J127,20221002,1
S3096J124,20221003,1
S3098J112,20221003,1
S3098J124,20221003,1
S3108J112,20221003,1
S3096J124,20221004,1
S3098J112,20221004,1
S3098J124,20221004,1
S3108J112,20221004,1
S3096J124,20221005,1
S3098J112,20221005,1
S3098J124,20221005,1
S3108J112,20221005,1
S3096J124,20221006,1
S3098J12,20221006,1
S3098J124,20221006,1
S3099J12,20221006,1
S3096J124,20221007,1
S3098J12,20221007,1
S3098J124,20221007,1
S3099J12,20221007,1
S3102J2,20221008,1
S3103J2,20221008,1
S3109J2,20221008,1
S3105J127,20221009,1
S3106J127,20221009,1
S3107J127,20221009,1
