route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
10,2427153,10,CHRU Minjoz <> Chaffanjon,3,CECB00,000000
101,2427153,T1,Hauts du Chazal <> Chalezeule,0,00A5C2,FFFFFF
102,2427153,T2,Hauts du Chazal <> Gare Viotte,0,006D78,FFFFFF
11,2427153,11,Rivotte <> Combe Saragosse,3,C592BE,FFFFFF
12,2427153,12,Pôle Temis <> Prés de Vaux,3,7BC6BC,000000
27,2427153,Ginko Citadelle,Pôle Chamars <> Citadelle,3,F26522,ffffff
3,2427153,L3,Pôle Temis <> Centre-ville - 8 Septembre,3,006AB3,FFFFFF
4,2427153,L4,Châteaufarine <> Pôle Orchamps,3,E2001A,FFFFFF
5,2427153,L5,St Claude <> Bregille,3,1FA22E,FFFFFF
6,2427153,L6,Founottes <> Pôle Temis <> Pôle Orchamps,3,FFE500,000000
7,2427153,7,Hauts du Chazal <> Palente Espace Industriel,3,A74C21,FFFFFF
8,2427153,8,Centre-ville - Battant <> Espace Valentin,3,00396B,FFFFFF
9,2427153,9,Tilleroyes <> Velotte,3,F29400,FFFFFF
104,2427153,D104,POLE MICROPOLIS<>LYCEE PERGAUD,3,E8526B,FFFFFF
105,2427153,D101,VILLARS ST GEORGES <> MICROPOLIS,3,E8526B,FFFFFF
106,2427153,D103,POLE MICROPOLIS<>POLE TEMIS,3,E8526B,FFFFFF
109,2427153,D110,VORGES LES PINS <> COLLEGE VOLTAIRE,3,E8526B,FFFFFF
111,2427153,D111,RANCENAY <> COLLEGE VOLTAIRE,3,E8526B,FFFFFF
112,2427153,D112,MONTFERRAND-LE-CHATEAU <> COLLEGE VOLTAIRE,3,E8526B,FFFFFF
114,2427153,D114,GRANDFONTAINE <> COLLEGE VOLTAIRE,3,E8526B,FFFFFF
121,2427153,D121,PELOUSEY <> COLLEGE JEAN JAURES,3,E8526B,FFFFFF
122,2427153,D122,BOUSSIERES <> COLLEGE JEAN JAURES,3,E8526B,FFFFFF
123,2427153,D123,TORPES <> COLLEGE JEAN JAURES,3,E8526B,FFFFFF
124,2427153,D124,VILLARS-ST-GEORGES <> COLLEGE JEAN JAURES,3,E8526B,FFFFFF
125,2427153,D125,DANNEMARIE-SUR-CRETE <> COLLEGE JEAN JAURES,3,E8526B,FFFFFF
126,2427153,D126,FRANOIS <> COLLEGE JEAN JAURES,3,E8526B,FFFFFF
127,2427153,D127,OSSELLE-ROUTELLE <> COLLEGE JEAN JAURES,3,E8526B,FFFFFF
128,2427153,D128,BESANCON <> COLLEGE JEAN JAURES,3,E8526B,FFFFFF
20,2427153,20,Hauts de Chailluz <> Pôle Temis,3,5C6970,FFFFFF
201,2427153,D201,CHAUCENNE<> LYCEE J.HAAG,3,E8526B,FFFFFF
202,2427153,D202,MAZEROLLE LE SALIN <> LYCEE LEDOUX,3,E8526B,FFFFFF
203,2427153,D203,POLE TEMIS<>LYCEE PERGAUD,3,E8526B,FFFFFF
205,2427153,D205,VENISE<>POLE TEMIS,3,E8526B,FFFFFF
206,2427153,D206,CUSSEY SUR L'OGNON<>POLE TEMIS,3,E8526B,FFFFFF
208,2427153,D208,BESANCON TEMIS <> BESANCON UFR SANTE,3,E8526B,FFFFFF
21,2427153,21,Port Douvot <> Pôle Chamars,3,5C6970,FFFFFF
210,2427153,D210,École-Valentin <> Collège Camus,3,E8526B,FFFFFF
211,2427153,D211,PIREY <> COLLEGE CAMUS,3,E8526B,FFFFFF
212,2427153,D212,MISEREY-SALINES <> COLLEGE CAMUS,3,E8526B,FFFFFF
22,2427153,22,Avanne-Aveney <> CHRU Minjoz,3,5C6970,FFFFFF
220,2427153,D220,SAINT VIT <> COLLEGE CARTANNAZ,3,E8526B,FFFFFF
221,2427153,D221,DANNEMARIE-SUR-CRETE <> COLLEGE CARTANNAZ,3,E8526B,FFFFFF
222,2427153,D222,CHEMAUDIN ET VAUX <> COLLEGE CARTANAZ,3,E8526B,FFFFFF
223,2427153,D223,POUILLEY-LES-VIGNES <> COLLEGE CARTANAZ,3,E8526B,FFFFFF
224,2427153,D224,LES AUXONS <> COLLEGE CARTANAZ,3,E8526B,FFFFFF
225,2427153,D225,BUSY <> COLLEGE CARTANNAZ,3,E8526B,FFFFFF
226,2427153,D226,VENISE <> COLLEGE CARTANNAZ,3,E8526B,FFFFFF
227,2427153,D227,POLE TEMIS <> COLLEGE CARTANAZ,3,E8526B,FFFFFF
23,2427153,23,La Vèze <> Pôle Chamars,3,5C6970,FFFFFF
231,2427153,D231,MISEREY-SALINES <> COLLEGE CLAUDE GIRARD,3,E8526B,FFFFFF
232,2427153,D232,ECOLE-VALENTIN <> COLLEGE CLAUDE GIRARD,3,E8526B,FFFFFF
233,2427153,D233,LES AUXONS <> COLLEGE CLAUDE GIRARD,3,E8526B,FFFFFF
234,2427153,D234,LES AUXONS <> COLLEGE CLAUDE GIRARD,3,E8526B,FFFFFF
235,2427153,D235,PALISE <> COLLEGE CLAUDE GIRARD,3,E8526B,FFFFFF
236,2427153,D236,CUSSEY SUR L'OGNON <> COLLEGE CLAUDE GIRARD,3,E8526B,FFFFFF
237,2427153,D237,VIEILLEY <> COLLEGE CLAUDE GIRARD,3,E8526B,FFFFFF
238,2427153,D238,GENEUILLE <> COLLEGE CLAUDE GIRARD,3,E8526B,FFFFFF
24,2427153,24,Chaudanne <> Pôle Chamars,3,5C6970,FFFFFF
240,2427153,D240,CHAUCENNE <> COLLEGE POMPIDOU,3,E8526B,FFFFFF
241,2427153,D241,SERRE LES SAPINS <> COLLEGE POMPIDOU,3,E8526B,FFFFFF
242,2427153,D242,CHEMAUDIN ET VAUX <> COLLEGE POMPIDOU,3,E8526B,FFFFFF
243,2427153,D243,MAZEROLLES LE SALIN <> COLLEGE POMPIDOU,3,E8526B,FFFFFF
244,2427153,D244,FRANOIS <> COLLEGE POMPIDOU,3,E8526B,FFFFFF
245,2427153,D245,FRANOIS <> COLLEGE POMPIDOU,3,E8526B,FFFFFF
246,2427153,D246,POUILLEY-LES-VIGNES <> COLLEGE POMPIDOU,3,E8526B,FFFFFF
247,2427153,D247,NOIRONTE <> COLLEGE POMPIDOU,3,E8526B,FFFFFF
248,2427153,D248,PELOUSEY <> COLLEGE POMPIDOU,3,E8526B,FFFFFF
249,2427153,D249,BESANCON VALLIERES <> COLLEGE POMPIDOU,3,E8526B,FFFFFF
28,2427153,Ginko Piscine,Pôle Orchamps <> Piscine Chalezeule,3,00ffff,000000
29,2427153,Ginko Osselle Plage,Osselle Plage <> Pole Micropolis,3,1d8bbe,ffffff
301,2427153,D301,POLE ORCHAMPS<>LYCEE J.HAAG,3,E8526B,FFFFFF
31,2427153,D1,St Claude <> Pôle Chamars,3,E8526B,FFFFFF
310,2427153,D310,CHALEZE <> COLLEGE CLAIRS SOLEILS,3,E8526B,FFFFFF
311,2427153,D311,ROCHE LEZ BEAUPRE <> COLLEGE CLAIRS SOLEILS,3,E8526B,FFFFFF
312,2427153,D312,ROCHE LEZ BEAUPRE <> COLLEGE CLAIRS SOLEILS,3,E8526B,FFFFFF
313,2427153,D313,THISE <> COLLEGE CLAIRS SOLEILS,3,E8526B,FFFFFF
314,2427153,D314,THISE <> COLLEGE CLAIRS SOLEILS,3,E8526B,FFFFFF
32,2427153,D2,Pôle Chamars <> Tilleroyes,3,E8526B,FFFFFF
323,2427153,D323,CHAUDEFONTAINE <> COLLEGE PROUDHON,3,E8526B,FFFFFF
324,2427153,D324,CHAMPOUX <> COELLEGE PROUDHON,3,E8526B,FFFFFF
33,2427153,D3,Flore <> collège Clairs Soleils,3,E8526B,FFFFFF
