stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
VICGALL1,"Victor Gallois",47.256786,6.02118,0,st_victor_gallois,1
OISEAUX1,"Les Oiseaux",47.256332,6.034386,0,st_les_oiseaux,1
QUATVEN2,"4 Vents",47.259567,6.029016,0,st_4_vents,1
QUATVEN1,"4 Vents",47.259666,6.029967,0,st_4_vents,1
GRANDF19,"Grandfontaine - Le Mont",47.19491,5.899867,0,st_grandfontaine__le_mont,0
OISEAUX2,"Les Oiseaux",47.25591,6.033502,0,st_les_oiseaux,0
VICGALL2,"Victor Gallois",47.256733,6.020927,0,st_victor_gallois,0
GRANDF20,"Grandfontaine - Le Mont",47.194855,5.89978,0,st_grandfontaine__le_mont,0
GRANDF22,"Grandfontaine - Les Corvées",47.199024,5.906398,0,st_grandfontaine__les_corvees,0
GRANDF23,"Grandfontaine - Les Corvées",47.199104,5.906557,0,st_grandfontaine__les_corvees,0
CHARMIL1,"Charmilles",47.25593,6.013273,0,st_charmilles,0
GRANDF25,"Grandfontaine - Les Vergers",47.19764,5.89826,0,st_grandfontaine__les_vergers,0
GRANDF26,"Grandfontaine - Les Vergers",47.19752,5.89792,0,st_grandfontaine__les_vergers,0
CHARMIL2,"Charmilles",47.25533,6.013961,0,st_charmilles,1
BONNAY02,"Bonnay - Fontaine",47.33409,6.051384,0,st_bonnay__fontaine,0
BONNAY01,"Bonnay - Fontaine",47.33415,6.051215,0,st_bonnay__fontaine,0
PARCEXP2,"Parc des Expositions",47.22304,5.978963,0,st_parc_des_expositions,0
PARCEXP1,"Parc des Expositions",47.223587,5.979162,0,st_parc_des_expositions,0
POUILL09,"Pouilley-les-Vignes - Collège Pompidou",47.256447,5.927646,0,st_pouilleylesvignes__college_pompidou,1
POUILL05,"Pouilley-les-Vignes - Calvaire",47.254486,5.936676,0,st_pouilleylesvignes__calvaire,1
VINCENT3,"Clinique St Vincent",47.244637,5.981358,0,st_clinique_st_vincent,0
POUILL06,"Pouilley-les-Vignes - Calvaire",47.254364,5.938489,0,st_pouilleylesvignes__calvaire,1
t_hdc1,"Hauts du Chazal",47.221603,5.9515543,0,st_hauts_du_chazal,1
POUILL03,"Pouilley-les-Vignes - Salle des Fêtes",47.257896,5.934695,0,st_pouilleylesvignes__salle_des_fetes,0
POUILL04,"Pouilley-les-Vignes - Salle des fêtes",47.258,5.93469,0,st_pouilleylesvignes__salle_des_fetes,0
POUILL01,"Pouilley-les-Vignes - Grosse Aige",47.253468,5.952273,0,st_pouilleylesvignes__grosse_aige,0
